-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
	hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1005.0    121   11.0   -3.0     37   3.06    130      7  283.8  292.7  284.3
 1003.0    129   15.6   -6.4     21   2.37    145      4  288.5  295.7  288.9
 1001.0    138   16.9   -6.4     20   2.38    160      1  290.0  297.2  290.4
 1000.0    142   17.6   -6.4     19   2.38    155      2  290.8  298.0  291.2
  997.0    168   20.2   -7.8     14   2.14    162      3  293.6  300.2  294.0
  975.0    360   21.8  -10.6     10   1.76    210     10  297.1  302.7  297.4
  972.0    387   22.0  -11.0     10   1.71    204     10  297.6  303.0  297.9
  925.0    814   20.6  -10.4     11   1.88    105      6  300.4  306.4  300.7
  916.0    898   20.2  -14.8      8   1.33    110      6  300.8  305.2  301.0
  850.0   1536   15.4   -3.6     27   3.46    150      9  302.3  313.1  302.9
  815.0   1888   12.5   -3.6     32   3.61    130     12  302.8  314.1  303.5
  799.0   2054   11.1   -3.6     36   3.68    150     14  303.0  314.6  303.7
  769.0   2374    8.4   -3.6     43   3.83    129     19  303.5  315.5  304.2
  743.0   2657    7.4   -6.0     38   3.29    110     24  305.4  315.9  306.0
  733.0   2769    7.0   -7.0     36   3.10    108     17  306.1  316.1  306.7
  727.0   2836    7.8  -10.2     27   2.43    106     13  307.7  315.7  308.2
  721.0   2904    7.4  -11.7     24   2.18    105      9  308.0  315.2  308.4
  700.0   3147    6.0  -17.0     17   1.45     75      6  309.1  314.0  309.4
  651.0   3737    1.6  -19.4     19   1.27     19      2  310.6  314.9  310.8
  635.0   3937    1.4  -23.0     14   0.96      0      0  312.5  315.9  312.7
  613.0   4221    1.0  -28.0      9   0.63     10     10  315.3  317.6  315.4
  595.0   4457   -0.5  -28.3     10   0.63     10     11  316.3  318.6  316.4
  585.0   4590   -1.3  -28.5     11   0.63    345     10  316.8  319.1  316.9
  513.0   5627   -7.8  -29.8     15   0.63    355     10  321.1  323.4  321.2
  500.0   5830   -9.1  -30.1     16   0.63     20      6  321.9  324.2  322.0
  490.0   5986   -9.7  -32.7     13   0.50     21      7  323.0  324.9  323.1
  467.0   6349  -12.8  -33.3     16   0.50     25     11  323.6  325.5  323.8
  459.0   6480  -13.9  -33.5     17   0.49      0     10  323.9  325.8  324.0
  448.0   6664  -15.4  -33.9     19   0.49     20     10  324.2  326.0  324.3
  427.0   7027  -18.5  -34.5     23   0.48      5     11  324.7  326.6  324.8
  400.0   7510  -21.3  -41.3     15   0.26    345     12  327.2  328.2  327.3
  390.0   7695  -22.5  -42.3     15   0.24    335     15  328.0  328.9  328.0
  379.0   7904  -23.9  -43.4     15   0.22    355     18  328.8  329.7  328.9
  364.0   8200  -25.9  -44.9     15   0.19    338     20  330.0  330.8  330.1
  361.0   8258  -26.4  -45.4     15   0.18    335     20  330.2  330.9  330.2
  305.0   9455  -35.7  -55.7     11   0.07    335     22  333.4  333.6  333.4
  300.0   9570  -36.7  -55.7     12   0.07    335     22  333.5  333.8  333.5
  288.0   9845  -39.1  -56.3     14   0.06    330     21  334.0  334.3  334.0
  261.0  10510  -45.0  -57.8     22   0.06    345     20  335.0  335.2  335.0
  250.0  10800  -47.5  -58.5     27   0.06    345     23  335.3  335.6  335.3
  215.0  11777  -54.2  -64.4     27   0.03    325     27  339.6  339.8  339.6
  208.0  11991  -55.7  -65.7     28   0.03    316     29  340.6  340.7  340.6
  203.0  12145  -55.8  -68.9     18   0.02    310     30  342.7  342.8  342.8
  200.0  12240  -55.9  -70.9     14   0.01    315     32  344.1  344.1  344.1
  189.0  12596  -57.2  -73.0     12   0.01    310     33  347.7  347.7  347.7
  186.0  12697  -57.5  -73.5     11   0.01    315     35  348.7  348.7  348.7
  175.0  13080  -58.9  -75.7     10   0.01    330     21  352.6  352.6  352.6
  167.0  13375  -59.9  -77.4      8   0.01    315     23  355.6  355.6  355.6
  150.0  14050  -62.3  -81.3      6   0.00    335     25  362.6  362.6  362.6
  145.0  14258  -63.5  -81.5      7   0.00    330     20  364.0  364.0  364.0
  138.0  14560  -63.7  -82.3      6   0.00    325     16  368.8  368.8  368.8
  132.0  14832  -63.9  -83.0      6   0.00    310     18  373.1  373.2  373.1
  124.0  15214  -64.2  -84.0      5   0.00    335     18  379.4  379.4  379.4
  111.0  15890  -64.7  -85.7      4   0.00    325     10  390.6  390.6  390.6
  100.0  16520  -68.5  -86.5      6   0.00    285      9  395.1  395.1  395.1
   97.0  16702  -69.4  -86.6      7   0.00    255     13  396.9  396.9  396.9
   93.0  16953  -70.6  -86.7      8   0.00    275     19  399.3  399.3  399.3
   92.6  16979  -70.7  -86.7      8   0.00    275     19  399.6  399.6  399.6
   87.0  17354  -69.6  -87.4      6   0.00    350     13  409.0  409.0  409.0
   85.0  17493  -69.2  -87.6      5   0.00      0     10  412.5  412.6  412.5
   76.0  18166  -67.2  -88.8      3   0.00    295     10  430.1  430.1  430.1
   75.0  18245  -66.9  -89.0      3   0.00    305     11  432.2  432.3  432.2
   70.0  18660  -65.7  -89.7      2   0.00    125      5  443.5  443.5  443.5
   69.0  18747  -64.3  -89.3      2   0.00    115      7  448.3  448.3  448.3
   67.0  18927  -64.2  -89.2      2   0.00     95     10  452.2  452.2  452.2
   56.0  20020  -63.9  -88.9      2   0.00    250     10  476.8  476.8  476.8
   55.5  20075  -63.9  -88.9      2   0.00    250     10  478.0  478.0  478.0
   50.0  20710  -65.1  -90.1      2   0.00    245      5  489.7  489.7  489.7
   46.9  21103  -61.7  -88.7      2   0.00    225      8  506.8  506.9  506.8
   44.0  21498  -62.1  -89.1      2   0.00    205     10  515.3  515.3  515.3
   43.0  21641  -62.2  -89.2      2   0.00    235     10  518.4  518.4  518.4
   42.2  21757  -62.3  -89.3      2   0.00    229     10  520.9  520.9  520.9
   36.0  22758  -58.1  -87.2      1   0.01    175     10  555.9  555.9  555.9
   34.0  23118  -56.6  -86.4      1   0.01    210     14  569.0  569.0  569.0
   31.0  23700  -54.2  -85.1      1   0.01    215     10  590.8  590.9  590.8
   30.9  23720  -54.1  -85.1      1   0.01    213     10  591.5  591.6  591.5
   30.0  23910  -54.1  -85.1      1   0.01    195     10  596.6  596.6  596.6
   29.0  24128  -53.8  -85.0      1   0.01    200     14  603.2  603.3  603.2
   28.0  24354  -53.5  -85.0      1   0.01    275     15  610.1  610.2  610.1
   27.0  24588  -53.2  -85.0      1   0.01    295     12  617.4  617.5  617.4
   25.0  25083  -52.5  -84.8      1   0.01    280     13  633.0  633.1  633.0
   24.0  25345  -52.1  -84.8      1   0.01    205     13  641.5  641.6  641.5
   22.8  25675  -51.7  -84.7      1   0.01    237     16  652.3  652.4  652.3
   22.0  25906  -52.1  -84.8      1   0.01    260     18  657.8  658.0  657.9
   21.0  26205  -52.6  -85.0      1   0.01    285     10  665.1  665.3  665.1
   20.0  26520  -53.1  -85.1      1   0.01    255     12  672.9  673.0  672.9
   19.0  26851  -53.0  -85.0      1   0.02    245     15  683.2  683.4  683.2
   18.0  27200  -52.8  -84.8      1   0.02    255     10  694.3  694.5  694.3
   17.0  27569  -52.7  -84.7      1   0.02    290     13  706.2  706.4  706.2
   16.0  27960  -52.5  -84.5      1   0.02    240     11  719.0  719.2  719.0
   15.0  28376  -52.4  -84.4      1   0.02    240     13  733.0  733.2  733.0
   14.6  28551  -52.3  -84.3      1   0.02                738.9  739.1  738.9
